"2026-04-20 20:42:25.590" Selfbus garage door gateway
"2026-04-20 20:42:25.609" Tx/Rx;frame;count;delta ms;crc status;frame crc;calculated crc
"2026-04-20 20:42:54.458" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:54.578" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:54.728" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:54.872" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:54.998" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.139" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.285" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.412" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.548" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.679" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:55.825" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:55.968" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:56.095" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:56.229" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:56.358" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:56.498" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:56.649" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:56.768" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:56.919" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:57.059" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:57.191" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:57.334" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:57.461" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:57.603" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:57.742" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:57.874" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:58.015" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:58.139" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:58.278" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:58.428" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:58.519" Rx;28 02 01 80 0D;5;95;ok;0D;0D
"2026-04-20 20:42:58.519" Tx;80 32 14 28 E4;5;2;ok;E4;E4
"2026-04-20 20:42:58.557" Rx;00 01 02 CA;4;40;ok;CA;CA
"2026-04-20 20:42:58.699" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:58.839" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:58.969" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:59.112" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:59.240" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:59.379" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:59.526" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:59.649" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:59.797" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:59.918" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:00.058" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:00.209" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:00.329" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:00.478" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:00.618" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:00.749" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:00.888" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.020" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.158" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.298" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.429" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.568" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:01.699" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:01.844" Rx;00 01 02 CA;4;138;ok;CA;CA
